key,code,moment,startSponsor,endSponsor,amount,sponsorshipType,email,moreInfo,draftMode,key:project,key:sponsor
sponsorship-01,SP-000,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,1,project-01,sponsor-001
sponsorship-02,SP-999,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,1,project-01,sponsor-001
sponsorship-03,SP-998,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-04,SP-346,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-05,SP-001,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-06,SP-002,2000/01/01 00:00,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-07,SP-003,2000/01/01 00:01,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-08,SP-004,2022/07/29 23:59,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-09,SP-005,2022/07/30 00:00,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-10,SP-006,2010/12/31 23:59,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-11,SP-007,2011/01/01 00:00,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-12,SP-008,2016/02/27 23:59,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-13,SP-009,2016/02/28 00:00,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-14,SP-010,2016/02/29 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-15,SP-011,2020/03/31 23:59,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-16,SP-012,2020/04/01 00:00,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-17,SP-013,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-18,SP-014,2020/03/14 15:32,2020/03/14 15:33,2025/03/14 15:33,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-19,SP-015,2020/03/14 15:32,2020/03/14 15:33,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-20,SP-016,2020/03/14 15:32,2200/12/01 12:00,2200/12/31 23:59,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-21,SP-017,2020/03/14 15:32,2200/12/01 12:00,2200/12/31 23:58,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-22,SP-018,2000/01/01 00:00,2000/01/01 00:00,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-23,SP-019,2000/01/01 00:00,2000/01/01 00:01,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-24,SP-020,2020/03/14 15:32,2023/12/31 23:59,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-25,SP-021,2020/03/14 15:32,2024/01/01 00:00,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-26,SP-022,2020/03/14 15:32,2024/02/27 23:59,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-27,SP-023,2020/03/14 15:32,2024/02/28 00:00,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-28,SP-024,2020/03/14 15:32,2024/02/29 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-29,SP-025,2020/03/14 15:32,2023/03/31 23:58,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-30,SP-026,2020/03/14 15:32,2023/04/01 00:00,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-31,SP-027,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-32,SP-028,2020/03/14 15:32,2024/03/14 15:32,2024/04/14 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-33,SP-029,2020/03/14 15:32,2024/03/14 15:32,2024/04/14 15:33,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-34,SP-030,2020/03/14 15:32,2024/03/14 15:32,2200/12/31 23:59,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-35,SP-031,2020/03/14 15:32,2024/03/14 15:32,2200/12/31 23:58,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-36,SP-032,2020/03/14 15:32,2024/03/14 15:32,2024/12/31 23:59,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-37,SP-033,2020/03/14 15:32,2024/03/14 15:32,2025/01/01 00:00,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-38,SP-034,2020/03/14 15:32,2024/03/14 15:32,2025/02/27 23:59,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-39,SP-035,2020/03/14 15:32,2024/03/14 15:32,2025/02/28 00:00,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-40,SP-036,2020/03/14 15:32,2024/03/14 15:32,2028/02/29 15:32,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-41,SP-037,2020/03/14 15:32,2024/03/14 15:32,2025/03/31 23:59,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-42,SP-038,2020/03/14 15:32,2024/03/14 15:32,2025/04/01 00:00,"USD 12,345.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-43,SP-039,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,USD 0.00,Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-44,SP-040,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,USD 0.01,Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-45,SP-041,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 1,000,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-46,SP-042,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 999,999.99",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-47,SP-043,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"USD 500,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-48,SP-044,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 1,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-49,SP-045,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 0.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-50,SP-046,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 0.01",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-51,SP-047,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 1,000,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-52,SP-048,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 999,999.99",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-53,SP-049,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"GBP 500,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-54,SP-050,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 1,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-55,SP-051,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 0.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-56,SP-052,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 0.01",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-57,SP-053,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 1,000,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-58,SP-054,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 999,999.99",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-59,SP-055,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"EUR 500,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-60,SP-056,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 1,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-61,SP-057,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 0.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-62,SP-058,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 0.01",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-63,SP-059,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 1,000,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-64,SP-060,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 999,999.99",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-65,SP-061,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"THB 500,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-66,SP-062,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"CAD 1,000.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
sponsorship-67,SP-063,2020/03/14 15:32,2024/03/14 15:32,2025/03/14 15:32,"CAD 0.00",Financial,example@example.com,https://example.com/sponsor1,0,project-01,sponsor-001
